#lambda/nm	C1
208.295	468.2
208.67	434.6
209.045	396.4
209.419	395.2
209.794	566.8
210.169	548.6
210.544	662.6
210.919	581
211.295	558.6
211.67	563.6
212.045	566.2
212.421	559.2
212.796	597
213.172	556.6
213.547	563.6
213.923	563.6
214.299	561.2
214.675	569.4
215.051	568.4
215.427	581.6
215.803	576.8
216.179	571.4
216.555	555
216.932	578.6
217.308	564.8
217.684	568
218.061	574.4
218.438	570.6
218.814	562.2
219.191	574.6
219.568	565.8
219.945	564.2
220.322	578.8
220.699	566.8
221.076	573.6
221.453	572.8
221.83	563.4
222.208	566.8
222.585	567.8
222.962	570.6
223.34	566.2
223.717	561.6
224.095	574.8
224.473	568.2
224.851	563.6
225.229	560.6
225.607	582.8
225.985	562
226.363	569.4
226.741	571.2
227.119	563.4
227.497	586
227.876	555.4
228.254	580.2
228.633	573.6
229.011	566.8
229.39	569.4
229.769	570.6
230.148	575.4
230.527	581
230.905	573.8
231.284	574.6
231.664	569.6
232.043	578.8
232.422	574.6
232.801	567.8
233.181	578.8
233.56	568.2
233.94	568.8
234.319	552.8
234.699	566.2
235.079	610
235.458	600.4
235.838	579.8
236.218	563
236.598	561.4
236.978	562.8
237.358	564.8
237.738	571.6
238.119	576.4
238.499	559.8
238.88	568
239.26	587
239.641	551
240.021	562.6
240.402	574.2
240.783	568.8
241.163	567.8
241.544	575
241.925	567.2
242.306	588.4
242.687	567
243.069	574.4
243.45	572.8
243.831	575
244.212	575.8
244.594	605.6
244.975	582.8
245.357	571.2
245.739	559.8
246.12	558.2
246.502	577.8
246.884	563.6
247.266	565.2
247.648	572.2
248.03	583.2
248.412	573.2
248.794	579.6
249.176	554.8
249.559	579.6
249.941	559.8
250.323	565
250.706	567.4
251.089	565.2
251.471	574.2
251.854	564.8
252.237	569.4
252.62	573.4
253.002	577.2
253.385	568.4
253.769	589.6
254.152	570.2
254.535	568.4
254.918	560.4
255.301	571.4
255.685	571.4
256.068	562.6
256.452	590.4
256.835	582.4
257.219	577.4
257.603	584.6
257.986	562.2
258.37	574.2
258.754	568.6
259.138	582.8
259.522	578.2
259.906	569.6
260.29	572.6
260.675	568.4
261.059	564.2
261.443	552.4
261.828	574.2
262.212	571.4
262.597	563.4
262.981	560.4
263.366	573.4
263.751	565.6
264.136	565.2
264.521	562.4
264.906	558.6
265.291	576.4
265.676	564
266.061	569
266.446	593
266.831	570.2
267.217	586.8
267.602	572.2
267.987	578.8
268.373	568.4
268.759	587
269.144	574.8
269.53	566.4
269.916	565.6
270.302	569
270.688	581.6
271.074	570.8
271.46	572.4
271.846	601.2
272.232	571
272.618	565.8
273.004	563.4
273.391	575.8
273.777	572
274.164	574.6
274.55	573.6
274.937	573
275.324	568.8
275.71	575.2
276.097	575.6
276.484	559
276.871	565.4
277.258	579.6
277.645	557
278.032	565.4
278.419	573.2
278.807	567
279.194	565.4
279.581	569.6
279.969	570.8
280.356	568.2
280.744	569.6
281.131	587.2
281.519	573.8
281.907	571
282.295	566
282.682	585.8
283.07	571.6
283.458	574.8
283.846	585.8
284.235	577.6
284.623	577.6
285.011	565.6
285.399	572.2
285.788	571.6
286.176	563.2
286.565	581.4
286.953	570.4
287.342	566
287.731	558.4
288.119	564.6
288.508	568.6
288.897	566.6
289.286	560
289.675	573.2
290.064	578.2
290.453	572.4
290.821	575
291.21	583.2
291.599	568.4
291.989	573
292.378	575.8
292.768	591.8
293.157	569.8
293.547	570.4
293.936	564.6
294.326	565.4
294.716	568.4
295.106	567.6
295.496	575.4
295.886	574.2
296.276	569.8
296.666	561.8
297.056	567.4
297.446	560.8
297.836	583.6
298.227	570.6
298.617	576.2
299.008	583.2
299.398	573.6
299.789	557.4
300.179	577.6
300.57	587.8
300.961	570.6
301.352	564.4
301.742	580.2
302.133	569.8
302.524	575
302.915	577.4
303.307	558.2
303.698	585
304.089	576
304.48	569.2
304.872	568.6
305.263	569.8
305.655	574.2
306.046	577
306.438	578
306.829	565.8
307.221	589.2
307.613	568.6
308.005	571.4
308.397	582.2
308.789	583.6
309.181	597
309.573	578
309.965	577.6
310.357	565.8
310.749	572.2
311.142	560.8
311.534	559.8
311.926	574.4
312.319	566
312.711	569.8
313.104	579
313.497	571.6
313.889	608.2
314.282	591.2
314.675	586.4
315.068	564.8
315.461	584.4
315.854	593.2
316.247	580.6
316.64	567.8
317.033	567.6
317.405	577.8
317.798	567
318.192	572.4
318.585	565.4
318.979	570.8
319.372	558.4
319.766	565.4
320.16	573
320.553	581.4
320.947	586.6
321.341	562.6
321.735	564.2
322.129	555.6
322.523	597.6
322.917	562.4
323.311	577.4
323.705	568.2
324.099	563.8
324.494	580.6
324.888	581
325.282	562.6
325.677	585.2
326.071	575.8
326.466	580.2
326.861	567
327.255	582.8
327.65	578
328.045	579
328.44	573.6
328.835	569.8
329.23	561.2
329.625	601.2
330.02	565.2
330.415	587.8
330.81	578
331.206	573.8
331.601	569.8
331.996	583
332.37	597.2
332.766	561.4
333.161	595.6
333.557	566.6
333.953	571.2
334.348	846
334.744	569.4
335.14	561.6
335.536	570.4
335.932	576.8
336.328	573.6
336.724	578.8
337.12	569.6
337.516	565.6
337.913	571.2
338.309	579
338.705	574.2
339.102	580.8
339.498	567
339.895	578
340.291	572.8
340.688	581.6
341.085	559.8
341.481	567.6
341.878	558.2
342.275	582
342.672	560.4
343.069	568.8
343.466	559
343.842	575.8
344.239	564
344.636	562.2
345.033	555.2
345.431	558.8
345.828	569
346.225	564.4
346.623	593.4
347.02	574.8
347.418	575.6
347.816	574.8
348.213	558.4
348.611	571
349.009	553.6
349.407	577.4
349.805	562.8
350.203	550
350.601	577.4
350.999	559.2
351.397	617.2
351.795	571.6
352.193	575.6
352.57	577
352.969	580.2
353.367	550.2
353.766	559.6
354.164	559.4
354.563	571.2
354.961	572.2
355.36	564.2
355.759	561.8
356.158	558.6
356.557	559.8
356.956	555.8
357.355	555.6
357.754	572.2
358.153	562.8
358.552	586.4
358.951	556.4
359.35	579
359.75	560.2
360.149	552
360.527	561
360.926	549
361.326	563.8
361.726	557.6
362.125	553.2
362.525	572
362.925	560.6
363.325	557.4
363.724	571.4
364.124	555.2
364.524	556.8
364.924	555.6
365.324	569.8
365.725	544.2
366.125	568.6
366.525	558.2
366.904	553.2
367.304	544.4
367.705	575.8
368.105	574.8
368.506	554.2
368.906	559.2
369.307	558.6
369.708	560.2
370.108	546.4
370.509	575.8
370.91	558.6
371.311	562.2
371.712	561.2
372.113	563.8
372.514	560.2
372.894	559.8
373.295	551.6
373.696	573.4
374.097	569.6
374.499	591
374.9	562.6
375.301	556.8
375.703	562.8
376.105	552.4
376.506	565
376.908	571.6
377.309	566.6
377.711	566.8
