#lambda/nm	C1
208.295	467.2
208.67	429
209.045	394.6
209.419	397.6
209.794	563
210.169	546
210.544	669.6
210.919	568.8
211.295	558.6
211.67	565.6
212.045	561
212.421	568.4
212.796	596.2
213.172	557
213.547	565
213.923	558.2
214.299	559
214.675	573.2
215.051	578.6
215.427	568
215.803	574.4
216.179	569.4
216.555	550
216.932	578.8
217.308	568.2
217.684	564.6
218.061	578.2
218.438	568
218.814	560.8
219.191	572.2
219.568	558.4
219.945	566.6
220.322	578.8
220.699	573.4
221.076	578.6
221.453	571.8
221.83	561.6
222.208	569
222.585	563.2
222.962	564.6
223.34	577.6
223.717	571.2
224.095	559
224.473	570.6
224.851	561.8
225.229	559.8
225.607	578.4
225.985	553
226.363	569.8
226.741	576.8
227.119	570.8
227.497	578.2
227.876	558.8
228.254	574.4
228.633	573.8
229.011	581.2
229.39	581.4
229.769	567.4
230.148	573.4
230.527	584.2
230.905	568
231.284	566.8
231.664	558.6
232.043	580
232.422	573.6
232.801	565.4
233.181	572.2
233.56	567.8
233.94	565.2
234.319	561.4
234.699	562.2
235.079	603.6
235.458	606.2
235.838	586
236.218	562.8
236.598	560.4
236.978	559.2
237.358	558
237.738	564.2
238.119	575.4
238.499	557.8
238.88	569.2
239.26	586.4
239.641	556.4
240.021	568
240.402	569
240.783	562.4
241.163	569
241.544	576.2
241.925	566.6
242.306	588.6
242.687	574.4
243.069	571.2
243.45	574.6
243.831	573.6
244.212	568.8
244.594	602.6
244.975	578
245.357	569.8
245.739	561.2
246.12	569.8
246.502	584.2
246.884	563.8
247.266	567.2
247.648	583
248.03	587.8
248.412	570.4
248.794	577
249.176	565.8
249.559	583
249.941	557.6
250.323	564.2
250.706	566
251.089	569.6
251.471	567.8
251.854	568.2
252.237	565.8
252.62	570
253.002	561.4
253.385	567.6
253.769	579.4
254.152	566.6
254.535	570.8
254.918	558
255.301	567.4
255.685	561.4
256.068	557.4
256.452	592.8
256.835	580.8
257.219	572.8
257.603	571.4
257.986	563.2
258.37	570.8
258.754	562.2
259.138	581.2
259.522	568
259.906	561.2
260.29	569.6
260.675	569.8
261.059	572
261.443	561
261.828	572.4
262.212	565.6
262.597	555.6
262.981	554.8
263.366	574.2
263.751	570.4
264.136	558.6
264.521	564.6
264.906	567.8
265.291	572.6
265.676	572.2
266.061	573.8
266.446	589
266.831	573
267.217	576.8
267.602	572.2
267.987	569
268.373	566.2
268.759	582
269.144	577.2
269.53	570.6
269.916	568
270.302	567.6
270.688	570
271.074	584.4
271.46	583.4
271.846	598.6
272.232	565.2
272.618	568.6
273.004	569.2
273.391	579.2
273.777	581.8
274.164	574.4
274.55	579.4
274.937	575.8
275.324	562.6
275.71	576
276.097	572.8
276.484	555.2
276.871	566.8
277.258	575.4
277.645	557.2
278.032	572.2
278.419	567.2
278.807	569
279.194	559.4
279.581	566.6
279.969	574.6
280.356	569.2
280.744	569.2
281.131	588.4
281.519	579.2
281.907	563.6
282.295	566.4
282.682	576.2
283.07	562.6
283.458	584
283.846	580
284.235	573.4
284.623	573.2
285.011	566.6
285.399	576.2
285.788	565.6
286.176	554.4
286.565	581.4
286.953	565
287.342	557.4
287.731	562.4
288.119	552
288.508	568.2
288.897	567.8
289.286	561.6
289.675	561.6
290.064	572.2
290.453	562.8
290.821	561
291.21	588.6
291.599	563.6
291.989	568.8
292.378	575.2
