#lambda/nm	C1
208.295	473
208.67	434.6
209.045	393.8
209.419	400.2
209.794	564
210.169	548.8
210.544	670.8
210.919	566.8
211.295	557.4
211.67	568.8
212.045	568.2
212.421	567
212.796	594.8
213.172	568.2
213.547	562.6
213.923	565.4
214.299	568.6
214.675	573.4
215.051	578
215.427	569.8
215.803	581.4
216.179	574.4
216.555	562.8
216.932	576.4
217.308	570.8
217.684	575.2
218.061	574.2
218.438	572.2
218.814	565.6
219.191	575.4
219.568	550.4
219.945	564.4
220.322	573.6
220.699	567.8
221.076	580.2
221.453	576
221.83	569.2
222.208	567.8
222.585	557
222.962	567.2
223.34	568
223.717	567.4
224.095	565.4
224.473	570
224.851	558.2
225.229	557.4
225.607	580.2
225.985	560
226.363	569.4
226.741	566
227.119	566
227.497	575.6
227.876	559.8
228.254	569.8
228.633	571.6
229.011	576.4
229.39	579
229.769	578.2
230.148	578.2
230.527	595
230.905	568
231.284	566.4
231.664	563.8
232.043	581
232.422	572.6
232.801	561.6
233.181	565.6
233.56	559.6
233.94	563.8
234.319	552.6
234.699	560.4
235.079	600.6
235.458	593.6
235.838	573
236.218	554
236.598	551.2
236.978	558.6
237.358	559.2
237.738	568.6
238.119	579.2
238.499	558.6
238.88	564.2
239.26	587
239.641	558.6
240.021	564.8
240.402	567.2
240.783	567
241.163	559.4
241.544	558.6
241.925	564
242.306	577.2
242.687	569.2
243.069	564.8
243.45	572.8
243.831	558.6
244.212	560.2
244.594	597.4
244.975	575.2
245.357	569.6
245.739	565.4
246.12	563.2
246.502	576.8
246.884	562.2
247.266	557.2
247.648	561.8
248.03	577.2
248.412	556.6
248.794	570
249.176	565
249.559	571.2
249.941	559
250.323	561.8
250.706	557.2
251.089	568
251.471	565.2
251.854	567.8
252.237	570.2
252.62	581.4
253.002	570.2
253.385	572.4
253.769	577.8
254.152	567.2
254.535	568
254.918	565
255.301	565.4
255.685	569.6
256.068	555.6
256.452	584
256.835	575.2
257.219	570
257.603	579.2
257.986	558.6
258.37	570.2
258.754	553.8
259.138	575.8
259.522	577.4
259.906	565
260.29	565.8
260.675	558.8
261.059	566.2
261.443	555.2
261.828	574.6
262.212	573
262.597	559.8
262.981	560.6
263.366	572.2
263.751	565.8
264.136	565.4
264.521	573
264.906	556.2
265.291	573.2
265.676	560.4
266.061	575.8
266.446	586.4
266.831	570.8
267.217	585.4
267.602	564
267.987	568.6
268.373	566.4
268.759	587.4
269.144	576.8
269.53	571.4
269.916	564
270.302	567.4
270.688	573.6
271.074	574
271.46	577.2
271.846	596.4
272.232	574.8
272.618	559.8
273.004	570.4
273.391	584
273.777	594
274.164	572
274.55	584.6
274.937	579.2
275.324	559.8
275.71	578
276.097	576.6
276.484	565
276.871	574.2
277.258	577.4
277.645	559.8
278.032	570.8
278.419	569.2
278.807	568
279.194	563
279.581	565.2
279.969	578.6
280.356	575
280.744	564.8
281.131	592.6
281.519	578.8
281.907	565.2
282.295	571
282.682	589
283.07	569
283.458	582.4
283.846	571.4
284.235	570.6
284.623	575.4
285.011	557.6
285.399	572
285.788	563.8
286.176	555.2
286.565	587
286.953	565.4
287.342	560.2
287.731	564.8
288.119	564
288.508	566.4
288.897	577.4
289.286	561.2
289.675	571.8
290.064	576.4
290.453	574.2
290.821	576.8
291.21	585
291.599	566.8
291.989	570.6
292.378	572.6
292.768	582.8
293.157	574
293.547	572.4
293.936	570.8
294.326	561
294.716	574
295.106	565.8
295.496	582.6
295.886	580
296.276	562.2
296.666	560.6
297.056	573.6
297.446	560.8
297.836	577.2
298.227	563
298.617	570.2
299.008	583.6
299.398	573.2
299.789	561.6
300.179	567.6
300.57	582.8
300.961	573
301.352	562.2
301.742	576
302.133	571.8
302.524	562.4
302.915	578.2
303.307	559.6
303.698	583.8
304.089	569.2
304.48	573.8
304.872	575.2
305.263	574.4
305.655	571
306.046	579.6
306.438	575.2
306.829	564
307.221	582.8
307.613	579.6
308.005	577.8
308.397	574.4
308.789	586.6
309.181	595
309.573	580.8
309.965	582.4
310.357	568.4
310.749	567.6
311.142	556.2
311.534	553.6
311.926	572.4
312.319	565
312.711	561.8
313.104	589.2
313.497	567.8
313.889	609.8
314.282	590.2
314.675	604
315.068	568.8
315.461	575
315.854	599.4
316.247	577
316.64	580.4
317.033	577.4
317.405	573.4
317.798	571.8
318.192	567.4
318.585	564.8
318.979	567.4
319.372	551.8
319.766	566.4
320.16	580.6
320.553	580.4
320.947	583.4
321.341	566.4
321.735	569.4
322.129	553
322.523	587.2
322.917	566.2
323.311	582.6
323.705	573
324.099	581.8
324.494	590.2
324.888	573.4
325.282	569.8
325.677	586
326.071	575.8
326.466	584.4
326.861	574.4
327.255	583.4
327.65	578.8
328.045	580.8
328.44	570
328.835	573.4
329.23	565.6
329.625	596
330.02	569.4
330.415	595.4
330.81	575.2
331.206	572.8
331.601	566.8
331.996	577.6
332.37	587.8
332.766	558.4
333.161	592.6
333.557	561.2
333.953	568
334.348	905.4
334.744	560
335.14	557.8
335.536	569.4
335.932	580.2
336.328	569.6
336.724	585.8
337.12	565.4
337.516	576.2
337.913	571.4
338.309	584.2
338.705	564.2
339.102	579.2
339.498	558.8
339.895	583.8
340.291	559.6
340.688	576
341.085	556
341.481	557.6
341.878	565.2
342.275	588.4
342.672	561
343.069	559.4
343.466	551.8
343.842	573.8
344.239	556.2
344.636	564.2
345.033	554.6
345.431	558
345.828	572.6
346.225	561.2
346.623	595.4
347.02	573.2
347.418	570.8
347.816	579
348.213	566.8
348.611	571.2
349.009	562
349.407	580.4
349.805	564.4
350.203	559
350.601	579.2
350.999	565
351.397	602.6
351.795	560.2
352.193	571.6
352.57	563.6
352.969	573.4
353.367	559.4
353.766	561
354.164	561.8
354.563	577.6
354.961	567.2
355.36	561.8
355.759	563
356.158	561
356.557	558.2
356.956	558.6
357.355	556.6
357.754	567.4
358.153	566
358.552	589.8
358.951	567.8
359.35	574.6
359.75	557.4
360.149	559.6
360.527	551.8
360.926	554.8
361.326	563.6
361.726	564.2
362.125	554.4
362.525	572.6
362.925	563.2
363.325	557.4
363.724	565.6
364.124	562.4
364.524	553
364.924	559.8
365.324	574.6
365.725	548.4
366.125	562
366.525	566
366.904	559.6
367.304	544
367.705	578.8
368.105	576.6
368.506	561.6
368.906	559.2
369.307	555
369.708	572.8
370.108	557.6
370.509	572.8
370.91	557
371.311	562
371.712	564.2
372.113	561.4
372.514	553.4
372.894	565.6
373.295	565
373.696	571.2
374.097	571.2
374.499	586.6
374.9	560.8
375.301	555.6
375.703	568
376.105	552
376.506	569.2
376.908	567
377.309	561
377.711	555.6
378.113	567.8
378.493	565.2
378.895	558.6
379.297	564
379.699	541
380.102	568.8
380.504	562.6
380.906	559.2
381.308	587.2
381.71	571.6
382.113	571.6
382.515	559.4
382.918	569.6
383.299	557.8
383.701	564.8
384.104	564.2
384.507	548.8
384.909	562
385.312	554.2
385.715	554
386.118	558.2
386.521	558
386.924	571.6
387.327	550.6
387.709	547.6
388.112	546.8
388.515	557.4
388.918	565.2
389.322	567.4
389.725	554.8
390.129	574.8
390.532	566.6
390.936	560.8
391.339	551.2
391.743	568
392.125	549.8
392.529	568.4
392.933	571.2
393.337	570.4
393.74	557.6
394.144	556.6
394.548	549.4
394.953	550.4
395.357	568.4
395.761	550.8
396.144	561.4
396.548	558.8
396.952	559
397.357	564
397.761	563
398.166	555.4
398.57	561.4
398.975	550.8
399.379	565.6
399.763	611
400.168	568
400.572	556.2
400.977	560.8
401.382	586.4
401.787	568.6
402.192	570.4
402.597	569.8
403.002	551
