1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	4,076192
1024,000000	5,163801
2048,000000	6,691626
3072,000000	9,423671
4096,000000	13,811094
5120,000000	16,021641
6144,000000	18,610234
7168,000000	21,530625
8192,000000	24,415312
9216,000000	27,959063
10240,000000	29,770625
11264,000000	33,504531
12288,000000	36,464375
13312,000000	39,610234
14336,000000	42,786484
15360,000000	44,721953
16384,000000	47,895391
17408,000000	50,857969
18432,000000	54,218203
19456,000000	56,847187
20480,000000	58,285547
21504,000000	61,657969
22528,000000	64,322188
23552,000000	67,474922
24576,000000	70,902891
25600,000000	73,002109
26624,000000	75,859609
27648,000000	78,849219
28672,000000	81,600234
29696,000000	84,246016
30720,000000	86,639766
31744,000000	88,754922
32768,000000	92,523047
33792,000000	95,197656
34816,000000	96,346094
35840,000000	99,505625
36864,000000	101,804844
37888,000000	105,097266
38912,000000	107,557734
39936,000000	110,118047
40960,000000	112,529375
41984,000000	114,488047
43008,000000	116,900859
44032,000000	119,040000
45056,000000	120,846250
46080,000000	123,735938
47104,000000	126,079219
48128,000000	127,285156
49152,000000	130,520859
50176,000000	132,940312
51200,000000	134,858516
52224,000000	137,526641
53248,000000	139,707188
54272,000000	141,262656
55296,000000	143,703594
56320,000000	145,353906
57344,000000	147,172422
58368,000000	148,879453
59392,000000	151,340156
60416,000000	153,723438
61440,000000	155,402266
62464,000000	157,641484
63488,000000	159,654453
64512,000000	161,682344
65536,000000	163,474531
66560,000000	165,396797
67584,000000	167,452109
68608,000000	168,797109
69632,000000	170,387813
70656,000000	172,273516
71680,000000	174,850469
72704,000000	176,275391
73728,000000	177,813047
74752,000000	179,043906
75776,000000	180,821953
76800,000000	182,506016
77824,000000	184,540312
78848,000000	186,004375
79872,000000	186,905000
80896,000000	188,933125
81920,000000	190,439141
82944,000000	191,712266
83968,000000	193,100703
84992,000000	194,678906
86016,000000	196,312969
87040,000000	197,690391
88064,000000	199,080859
89088,000000	200,509609
90112,000000	201,419375
91136,000000	202,861172
92160,000000	204,311094
93184,000000	205,400391
94208,000000	206,875078
95232,000000	207,966953
96256,000000	209,399297
97280,000000	210,335547
98304,000000	211,671562
99328,000000	212,772812
100352,000000	214,408047
101376,000000	215,198516
102400,000000	215,979375
103424,000000	217,137031
104448,000000	218,610703
105472,000000	219,440313
106496,000000	220,564766
107520,000000	221,287109
108544,000000	222,365312
109568,000000	223,571094
110592,000000	224,248594
111616,000000	225,268438
112640,000000	226,036172
113664,000000	226,976875
114688,000000	228,100312
115712,000000	229,100547
116736,000000	229,994844
117760,000000	230,665703
118784,000000	231,303594
119808,000000	232,306953
120832,000000	232,756250
121856,000000	234,036563
122880,000000	234,666719
123904,000000	235,396953
124928,000000	236,100469
