#1D 255 -512,000000 260608,000000	[nbin xmin xmax]
#"X"	"Function_0"
0,000000	1,753795
1024,000000	3,749084
2048,000000	7,374141
3072,000000	10,374141
4096,000000	14,186797
5120,000000	17,302813
6144,000000	20,883828
7168,000000	24,029844
8192,000000	27,704766
9216,000000	30,852187
10240,000000	34,081875
11264,000000	37,704766
12288,000000	40,966875
13312,000000	44,372109
14336,000000	47,491250
15360,000000	51,043984
16384,000000	54,063516
17408,000000	57,421406
18432,000000	60,431719
19456,000000	63,641406
20480,000000	66,873906
21504,000000	70,495859
22528,000000	73,585781
23552,000000	76,533438
24576,000000	79,443438
25600,000000	82,642734
26624,000000	85,863750
27648,000000	88,330703
28672,000000	91,393047
29696,000000	94,071328
30720,000000	97,687891
31744,000000	100,473281
32768,000000	103,713516
33792,000000	106,599375
34816,000000	109,229453
35840,000000	112,038672
36864,000000	115,063516
37888,000000	117,751406
38912,000000	120,381797
39936,000000	123,050781
40960,000000	125,966641
41984,000000	128,208438
43008,000000	131,000313
44032,000000	133,678047
45056,000000	136,049766
46080,000000	138,816094
47104,000000	140,836562
48128,000000	143,196719
49152,000000	146,042812
50176,000000	148,165469
51200,000000	150,851484
52224,000000	152,979688
53248,000000	155,436641
54272,000000	157,485000
55296,000000	159,886719
56320,000000	162,171406
57344,000000	164,304922
58368,000000	166,230391
59392,000000	168,736250
60416,000000	170,773594
61440,000000	172,600078
62464,000000	175,101016
63488,000000	176,978828
64512,000000	178,733828
65536,000000	181,110547
66560,000000	182,976484
67584,000000	185,022578
68608,000000	186,686172
69632,000000	189,112578
70656,000000	190,425078
71680,000000	191,995469
72704,000000	194,112813
73728,000000	195,828984
74752,000000	197,508594
75776,000000	199,316094
76800,000000	200,955391
77824,000000	202,662578
78848,000000	204,135938
79872,000000	205,694609
80896,000000	207,091328
81920,000000	208,912813
82944,000000	210,057266
83968,000000	211,731406
84992,000000	213,067344
86016,000000	214,500000
87040,000000	215,789531
88064,000000	217,283594
89088,000000	218,634766
90112,000000	220,024766
91136,000000	221,198906
92160,000000	222,607812
93184,000000	223,758672
94208,000000	225,097109
95232,000000	226,097500
96256,000000	227,195391
97280,000000	228,407891
98304,000000	229,627266
99328,000000	230,702656
100352,000000	232,113516
101376,000000	232,902422
102400,000000	234,029687
103424,000000	234,954297
104448,000000	236,112344
105472,000000	237,182500
106496,000000	237,850000
107520,000000	238,833984
108544,000000	239,901328
109568,000000	240,749375
110592,000000	241,775703
111616,000000	242,492031
112640,000000	243,375859
113664,000000	244,031328
114688,000000	244,909219
115712,000000	245,625625
116736,000000	246,163203
117760,000000	247,054141
118784,000000	247,904375
119808,000000	248,570938
120832,000000	249,274063
121856,000000	249,919062
122880,000000	250,783203
123904,000000	251,474219
124928,000000	252,036563
125952,000000	252,478047
126976,000000	253,268672
128000,000000	253,725859
129024,000000	254,422734
130048,000000	254,948828
131072,000000	255,298906
132096,000000	256,089062
133120,000000	256,574844
134144,000000	257,131172
135168,000000	257,691953
136192,000000	257,936563
137216,000000	258,448359
138240,000000	258,763750
139264,000000	259,287344
140288,000000	259,757500
141312,000000	260,059531
142336,000000	260,669609
143360,000000	260,986719
144384,000000	261,434453
145408,000000	261,774375
146432,000000	262,214219
147456,000000	262,673750
148480,000000	262,955781
149504,000000	263,256641
150528,000000	263,569922
151552,000000	263,846797
152576,000000	264,088828
153600,000000	264,454063
154624,000000	264,753047
155648,000000	265,003750
156672,000000	265,328828
157696,000000	265,765625
158720,000000	265,803672
159744,000000	266,143359
160768,000000	266,641875
161792,000000	266,775859
162816,000000	266,846328
163840,000000	267,179375
164864,000000	267,528906
165888,000000	267,715469
166912,000000	267,937031
167936,000000	268,127188
168960,000000	268,368828
169984,000000	268,459453
171008,000000	268,653594
172032,000000	268,789609
173056,000000	269,176094
174080,000000	269,225938
175104,000000	269,393047
176128,000000	269,575156
177152,000000	269,703984
178176,000000	269,795234
179200,000000	269,996719
180224,000000	270,120859
181248,000000	270,295000
182272,000000	270,285625
183296,000000	270,464609
184320,000000	270,551406
185344,000000	270,515625
186368,000000	270,649688
187392,000000	270,776719
188416,000000	270,868750
189440,000000	271,105859
190464,000000	271,018438
191488,000000	271,202031
192512,000000	271,373125
193536,000000	271,393906
194560,000000	271,477891
195584,000000	271,580781
196608,000000	271,663906
197632,000000	271,727188
198656,000000	271,919062
199680,000000	271,976328
200704,000000	271,972422
201728,000000	272,174531
202752,000000	272,099141
203776,000000	272,178594
204800,000000	272,376641
205824,000000	272,415000
206848,000000	272,592031
207872,000000	272,658281
208896,000000	272,740078
209920,000000	272,807969
210944,000000	272,908672
211968,000000	272,889609
212992,000000	272,901641
214016,000000	272,994922
215040,000000	273,128984
216064,000000	273,183984
217088,000000	273,218984
218112,000000	273,236641
219136,000000	273,199766
220160,000000	273,174766
221184,000000	273,152109
222208,000000	273,173516
223232,000000	273,243516
224256,000000	273,171484
225280,000000	273,208984
226304,000000	273,336953
227328,000000	273,310078
228352,000000	273,274531
229376,000000	273,350547
230400,000000	273,386797
231424,000000	273,348828
232448,000000	273,476562
233472,000000	273,477500
234496,000000	273,441484
235520,000000	273,478984
236544,000000	273,563203
237568,000000	273,479609
