1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	1,517299
1024,000000	1,654240
2048,000000	2,016496
3072,000000	3,128883
4096,000000	3,792098
5120,000000	4,684889
6144,000000	5,358359
7168,000000	6,340156
8192,000000	7,709766
9216,000000	8,466484
10240,000000	9,350312
11264,000000	10,175000
12288,000000	10,725938
13312,000000	12,128203
14336,000000	13,077031
15360,000000	14,433594
16384,000000	15,187500
17408,000000	16,064453
18432,000000	16,804141
19456,000000	18,021875
20480,000000	18,987734
21504,000000	20,050937
22528,000000	20,978906
23552,000000	22,214766
24576,000000	23,213906
25600,000000	23,781328
26624,000000	24,999141
27648,000000	25,743203
28672,000000	26,836016
29696,000000	27,740938
30720,000000	29,163516
31744,000000	29,812656
32768,000000	30,878203
33792,000000	31,917578
34816,000000	33,003516
35840,000000	33,688281
36864,000000	34,766797
37888,000000	35,755625
38912,000000	37,073906
39936,000000	37,988672
40960,000000	38,811250
41984,000000	39,794531
43008,000000	40,946719
44032,000000	41,770859
45056,000000	42,870078
46080,000000	43,486562
47104,000000	44,529063
48128,000000	45,500078
49152,000000	46,647031
50176,000000	47,616016
51200,000000	48,436172
52224,000000	49,471172
53248,000000	50,300625
54272,000000	51,648750
55296,000000	52,372031
56320,000000	53,217031
57344,000000	54,689531
58368,000000	55,226875
59392,000000	56,171094
60416,000000	57,237734
61440,000000	58,046641
62464,000000	58,701016
63488,000000	60,085000
64512,000000	60,701484
65536,000000	61,826641
66560,000000	62,681562
67584,000000	63,724922
68608,000000	64,577578
69632,000000	65,718906
70656,000000	66,681016
71680,000000	67,211016
72704,000000	68,433125
73728,000000	69,111719
74752,000000	70,263203
75776,000000	71,001406
76800,000000	72,157734
77824,000000	72,794063
78848,000000	73,996797
79872,000000	74,474844
80896,000000	75,506719
81920,000000	76,308047
82944,000000	77,048203
83968,000000	78,211953
84992,000000	79,048828
86016,000000	79,634375
87040,000000	80,655312
88064,000000	81,356797
89088,000000	82,243906
90112,000000	83,118359
91136,000000	83,875938
92160,000000	84,519922
93184,000000	85,482422
94208,000000	86,546406
95232,000000	87,446875
96256,000000	88,412344
97280,000000	88,868437
98304,000000	89,930078
99328,000000	90,706719
100352,000000	91,382266
101376,000000	92,284609
102400,000000	93,328203
103424,000000	93,644766
104448,000000	94,982734
105472,000000	95,820703
106496,000000	96,508750
107520,000000	97,402734
108544,000000	98,283203
109568,000000	99,223672
110592,000000	99,873281
111616,000000	100,798906
112640,000000	101,609062
113664,000000	101,975078
114688,000000	102,608984
115712,000000	103,454453
116736,000000	104,187813
117760,000000	104,539141
118784,000000	105,143438
119808,000000	105,718203
120832,000000	106,527578
121856,000000	107,038281
122880,000000	107,910469
123904,000000	108,509609
124928,000000	109,467109
125952,000000	109,831953
126976,000000	110,577969
128000,000000	111,418750
129024,000000	112,205313
130048,000000	112,721797
131072,000000	113,741484
132096,000000	114,328203
133120,000000	115,067891
134144,000000	115,806328
135168,000000	116,453750
136192,000000	116,976641
137216,000000	117,623906
138240,000000	118,054766
139264,000000	118,719609
140288,000000	119,680703
141312,000000	120,008828
142336,000000	120,540234
143360,000000	121,376172
144384,000000	122,030547
145408,000000	122,589766
146432,000000	123,253438
147456,000000	123,722656
148480,000000	124,591797
149504,000000	125,016953
150528,000000	125,621641
151552,000000	126,140547
152576,000000	126,817344
153600,000000	127,322812
154624,000000	128,143594
155648,000000	128,634141
156672,000000	129,547969
157696,000000	129,907578
158720,000000	130,533125
159744,000000	130,854219
160768,000000	131,375469
161792,000000	131,907734
162816,000000	132,379531
163840,000000	133,118828
164864,000000	133,695469
165888,000000	134,239375
166912,000000	134,796250
167936,000000	135,611875
168960,000000	136,084062
169984,000000	136,703516
171008,000000	137,453750
172032,000000	137,912344
173056,000000	138,583672
174080,000000	139,408984
175104,000000	139,954688
176128,000000	140,516172
177152,000000	140,980234
178176,000000	141,689219
179200,000000	142,145859
180224,000000	142,790234
181248,000000	143,008828
182272,000000	143,624141
183296,000000	143,985313
184320,000000	144,612188
185344,000000	145,200938
186368,000000	145,486953
187392,000000	146,121797
188416,000000	146,576172
189440,000000	147,080703
190464,000000	147,507031
191488,000000	148,271562
192512,000000	148,865078
193536,000000	149,051719
194560,000000	149,559844
195584,000000	150,244922
196608,000000	150,972813
197632,000000	151,401406
198656,000000	152,211563
199680,000000	152,138906
200704,000000	152,947422
201728,000000	153,734688
202752,000000	154,351016
203776,000000	155,046797
204800,000000	155,586094
205824,000000	156,283828
206848,000000	156,650078
207872,000000	157,044766
208896,000000	157,387656
209920,000000	157,883828
210944,000000	158,412031
211968,000000	159,123125
212992,000000	159,382266
214016,000000	159,784141
215040,000000	160,401094
216064,000000	160,806016
217088,000000	161,168750
218112,000000	161,768203
219136,000000	162,314844
220160,000000	162,865625
221184,000000	163,303203
222208,000000	163,946562
223232,000000	163,992109
224256,000000	164,468516
225280,000000	164,868984
226304,000000	165,300938
227328,000000	166,125625
228352,000000	166,087344
229376,000000	166,885469
230400,000000	167,325391
231424,000000	167,704688
232448,000000	167,561953
233472,000000	168,267734
234496,000000	168,781719
235520,000000	169,395313
236544,000000	169,794297
237568,000000	170,301719
238592,000000	170,524063
239616,000000	171,212969
240640,000000	171,611875
241664,000000	172,111953
242688,000000	172,525703
243712,000000	172,788750
244736,000000	172,924609
245760,000000	172,950703
246784,000000	173,466953
247808,000000	174,146250
248832,000000	174,705313
249856,000000	174,655938
250880,000000	174,677969
251904,000000	175,220312
252928,000000	175,677187
253952,000000	175,710859
254976,000000	175,858516
256000,000000	176,304922
257024,000000	176,874609
258048,000000	177,067891
259072,000000	177,346875
260096,000000	178,191953
