#1D 32 -4,000000 252,000000	[nbin xmin xmax]
#"X"	"Function_0"
0,000000	70,743672
8,000000	73,919531
16,000000	78,602500
24,000000	83,527109
32,000000	85,976406
40,000000	90,613672
48,000000	94,605312
56,000000	96,307266
64,000000	96,899219
72,000000	94,470078
80,000000	85,184688
88,000000	67,602109
96,000000	38,059531
104,000000	7,452336
112,000000	1,622668
120,000000	1,398413
128,000000	1,596580
136,000000	1,612380
144,000000	1,517202
152,000000	1,346713
160,000000	1,570828
168,000000	1,337979
176,000000	1,429172
184,000000	1,766786
192,000000	1,283621
200,000000	1,481525
208,000000	1,519708
216,000000	1,335474
224,000000	1,420940
232,000000	1,475734
240,000000	1,455475
248,000000	1,516682
