1D 100 -5,000000 995,000000	[nbin xmin xmax]
"X"	"Function_0"
0,000000	3,414521
10,000000	-1,545710
20,000000	4,690888
30,000000	-0,771822
40,000000	-1,475343
50,000000	1,362012
60,000000	1,202566
70,000000	35,403531
80,000000	84,479849
90,000000	117,600922
100,000000	128,539351
110,000000	126,941957
120,000000	119,129939
130,000000	107,394012
140,000000	91,850873
150,000000	80,267707
160,000000	67,924853
170,000000	56,734054
180,000000	47,901284
190,000000	38,184072
200,000000	31,713953
210,000000	25,159199
220,000000	18,607384
230,000000	14,892227
240,000000	7,554800
250,000000	3,877259
260,000000	1,073406
270,000000	-1,770203
280,000000	1,348764
290,000000	-7,684946
300,000000	-2,581160
310,000000	-9,146121
320,000000	-10,666654
330,000000	-12,622957
340,000000	-13,732177
350,000000	-15,624190
360,000000	-16,980965
370,000000	-17,610759
380,000000	-19,255269
390,000000	-20,314274
400,000000	-20,405235
410,000000	-21,534222
420,000000	-21,748757
430,000000	-21,821060
440,000000	-22,929826
450,000000	-22,747527
460,000000	-23,475107
470,000000	-24,380230
480,000000	-24,451665
490,000000	-24,688382
500,000000	-25,192631
510,000000	-24,612279
520,000000	-25,211839
530,000000	-24,872384
540,000000	-25,433731
550,000000	-25,740712
560,000000	-25,594513
570,000000	-25,539357
580,000000	-25,499558
590,000000	-24,864176
600,000000	-25,045208
610,000000	-25,302221
620,000000	-24,717240
630,000000	-24,573413
640,000000	-24,314110
650,000000	-24,835188
660,000000	-24,286995
670,000000	-24,762447
680,000000	-23,993721
690,000000	-24,099177
700,000000	-23,821030
710,000000	-23,208821
720,000000	-22,639361
730,000000	-22,910251
740,000000	-22,955875
750,000000	-23,298865
760,000000	-22,530095
770,000000	-22,271776
780,000000	-22,609188
790,000000	-21,870078
800,000000	-21,580934
810,000000	-21,035681
820,000000	-21,091411
830,000000	-20,296528
840,000000	-20,783884
850,000000	-20,290858
860,000000	-20,261907
870,000000	-20,125392
880,000000	-19,955962
890,000000	-19,708513
900,000000	-19,152122
910,000000	-19,151170
920,000000	-18,914844
930,000000	-18,617534
940,000000	-17,869206
950,000000	-18,291131
960,000000	-17,212357
970,000000	-17,074927
980,000000	-17,507993
990,000000	-16,055615
